hood_id,crime,year,rate
169,biketheft,2014,556.9837036
169,biketheft,2015,596.0128784
169,biketheft,2016,650.2462769
169,biketheft,2017,624.8422241
169,biketheft,2018,581.8534546
169,biketheft,2019,409.189209
169,biketheft,2020,335.1320496
169,biketheft,2021,322.4551086
169,biketheft,2022,356.8617161
169,biketheft,2023,293.8861084
169,breakenter,2014,185.6612396
169,breakenter,2015,308.2825317
169,breakenter,2016,380.9523926
169,breakenter,2017,340.8230286
169,breakenter,2018,430.3291016
169,breakenter,2019,479.3359375
169,breakenter,2020,448.736145
169,breakenter,2021,211.2636871
169,breakenter,2022,232.0561218
169,breakenter,2023,320.125946
169,homicide,2014,0
169,homicide,2015,0
169,homicide,2016,0
169,homicide,2017,0
169,homicide,2018,0
169,homicide,2019,5.845560074
169,homicide,2020,0
169,homicide,2021,0
169,homicide,2022,0
169,homicide,2023,NA
169,robbery,2014,78.54898834
169,robbery,2015,102.7608414
169,robbery,2016,124.7947464
169,robbery,2017,119.9192123
169,robbery,2018,175.7682343
169,robbery,2019,210.4401703
169,robbery,2020,107.9238815
169,robbery,2021,127.8701248
169,robbery,2022,102.5364304
169,robbery,2023,104.9593277
169,shooting,2014,0
169,shooting,2015,0
169,shooting,2016,0
169,shooting,2017,0
169,shooting,2018,6.060973167
169,shooting,2019,0
169,shooting,2020,0
169,shooting,2021,0
169,shooting,2022,5.396654129
169,shooting,2023,5.24796629
169,theftfrommv,2014,257.069397
169,theftfrommv,2015,171.2680664
169,theftfrommv,2016,157.6354675
169,theftfrommv,2017,94.67306519
169,theftfrommv,2018,193.9511414
169,theftfrommv,2019,192.9034882
169,theftfrommv,2020,198.8071594
169,theftfrommv,2021,111.1914139
169,theftfrommv,2022,136.4471267
169,theftfrommv,2023,209.9186554
169,theftover,2014,114.253067
169,theftover,2015,89.05939484
169,theftover,2016,85.38587952
169,theftover,2017,88.36152649
169,theftover,2018,60.60973358
169,theftover,2019,58.45560455
169,theftover,2020,39.76143265
169,theftover,2021,55.59570694
169,theftover,2022,48.56988525
169,theftover,2023,68.22356415
156,assault,2014,734.9390869
156,assault,2015,782.4064331
156,assault,2016,894.435791
156,assault,2017,849.9744263
156,assault,2018,916.5533447
156,assault,2019,1012.155823
156,assault,2020,660.0985107
156,assault,2021,634.6551514
